                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2949,                0.99987,                 1.3171,                0.76425,                 0.6571,                0.74434,                0.40696,                 1.6084,                 1.3821,                 1.6149,               0.070038,              0.0033291,              0.0033291
                      2,                 1.3497,                 1.0534,                 1.3495,                0.77147,                 0.6468,                0.73256,                0.39582,                 1.6257,                 1.3748,                 1.6276,               0.039994,              0.0066185,              0.0066185
                      3,                 1.3807,                 1.1063,                 1.3741,                0.75025,                0.63486,                0.72398,                0.38484,                 1.6519,                  1.515,                 1.6526,              0.0099062,              0.0098638,              0.0098638
                      4,                 1.4363,                 1.1638,                 1.4065,                0.74662,                0.61579,                0.70948,                0.37669,                 1.6467,                  1.527,                 1.6412,               0.009802,               0.009802,               0.009802
                      5,                 1.4409,                 1.1765,                 1.4105,                0.75152,                0.61444,                 0.7086,                0.38112,                 1.6431,                 1.5191,                 1.6416,               0.009802,               0.009802,               0.009802
                      6,                 1.4444,                 1.1885,                 1.4207,                 0.7362,                0.62878,                  0.708,                0.37954,                 1.6509,                   1.49,                 1.6515,               0.009736,               0.009736,               0.009736
                      7,                 1.4386,                 1.1823,                 1.4121,                0.72345,                0.63095,                0.71123,                0.37595,                 1.6491,                 1.4855,                 1.6481,                0.00967,                0.00967,                0.00967
                      8,                 1.4449,                 1.1833,                 1.4134,                0.73566,                0.63254,                0.70578,                0.38036,                 1.6233,                 1.4926,                 1.6471,               0.009604,               0.009604,               0.009604
                      9,                 1.4341,                 1.1675,                 1.4124,                0.74219,                0.63313,                0.71387,                0.38148,                 1.6294,                  1.464,                 1.6275,               0.009538,               0.009538,               0.009538
                     10,                 1.4409,                 1.1798,                 1.4111,                  0.733,                0.63124,                0.70631,                0.37399,                 1.6417,                 1.4962,                 1.6349,               0.009472,               0.009472,               0.009472
                     11,                 1.4324,                 1.1703,                 1.4112,                0.71903,                0.63354,                0.70286,                0.36702,                 1.6419,                 1.5038,                 1.6587,               0.009406,               0.009406,               0.009406
                     12,                 1.4377,                 1.1659,                 1.4008,                0.76239,                0.61792,                0.71046,                   0.38,                 1.6432,                 1.4872,                 1.6473,                0.00934,                0.00934,                0.00934
                     13,                 1.4381,                  1.171,                 1.4116,                 0.7437,                0.62948,                0.71818,                0.38158,                 1.6367,                 1.4534,                  1.637,               0.009274,               0.009274,               0.009274
                     14,                 1.4347,                 1.1774,                 1.4125,                0.74571,                0.63341,                0.72325,                0.38462,                 1.6253,                 1.4661,                 1.6217,               0.009208,               0.009208,               0.009208
                     15,                 1.4266,                 1.1599,                 1.3964,                  0.751,                0.63877,                0.72252,                 0.3885,                 1.6123,                 1.4394,                 1.6295,               0.009142,               0.009142,               0.009142
                     16,                 1.4185,                  1.151,                 1.4003,                0.73959,                0.62183,                 0.7027,                0.37615,                 1.6352,                 1.4402,                 1.6574,               0.009076,               0.009076,               0.009076
                     17,                 1.4196,                 1.1451,                 1.4004,                0.75198,                0.62847,                0.71545,                0.38493,                   1.62,                 1.4467,                 1.6364,                0.00901,                0.00901,                0.00901
                     18,                 1.4286,                 1.1629,                 1.4002,                0.75387,                0.62973,                0.72066,                0.38502,                 1.6241,                 1.4211,                 1.6297,               0.008944,               0.008944,               0.008944
                     19,                 1.4192,                 1.1461,                 1.3942,                0.74641,                0.63901,                0.72542,                0.38666,                 1.6362,                 1.4649,                 1.6362,               0.008878,               0.008878,               0.008878
                     20,                 1.4283,                 1.1656,                 1.4097,                0.74835,                0.63469,                0.71384,                0.38029,                 1.6457,                 1.4348,                  1.651,               0.008812,               0.008812,               0.008812
                     21,                 1.4141,                 1.1499,                 1.3957,                0.76183,                0.63836,                0.72843,                0.38934,                 1.6294,                 1.4597,                 1.6399,               0.008746,               0.008746,               0.008746
                     22,                 1.4138,                 1.1435,                 1.3913,                0.75251,                0.63738,                0.71838,                0.38943,                 1.6134,                 1.4324,                 1.6221,                0.00868,                0.00868,                0.00868
                     23,                 1.4052,                 1.1279,                 1.3859,                0.76739,                0.62751,                0.72648,                0.39173,                 1.6215,                 1.4367,                 1.6203,               0.008614,               0.008614,               0.008614
                     24,                 1.4072,                 1.1352,                 1.3848,                0.75666,                0.63968,                0.72384,                0.39154,                 1.6291,                 1.4238,                  1.633,               0.008548,               0.008548,               0.008548
                     25,                 1.4067,                 1.1296,                 1.3875,                0.74592,                0.63331,                0.71289,                0.38001,                 1.6249,                 1.4242,                 1.6302,               0.008482,               0.008482,               0.008482
                     26,                 1.4097,                 1.1376,                 1.3851,                0.76555,                0.63159,                0.72542,                0.39103,                 1.6275,                 1.3923,                 1.6183,               0.008416,               0.008416,               0.008416
                     27,                 1.4027,                 1.1319,                 1.3863,                 0.7509,                0.63534,                0.71824,                 0.3876,                 1.6262,                 1.4069,                 1.6351,                0.00835,                0.00835,                0.00835
                     28,                 1.4019,                 1.1153,                 1.3786,                0.76449,                0.64363,                0.72936,                0.39377,                 1.6312,                  1.382,                 1.6291,               0.008284,               0.008284,               0.008284
                     29,                 1.3963,                 1.1178,                 1.3811,                0.74034,                0.64821,                0.72639,                0.38959,                 1.6251,                 1.3951,                 1.6213,               0.008218,               0.008218,               0.008218
                     30,                 1.3955,                 1.1222,                 1.3806,                0.76792,                0.64746,                0.73397,                0.39919,                 1.6275,                 1.3785,                 1.6196,               0.008152,               0.008152,               0.008152
                     31,                 1.3979,                 1.1175,                 1.3794,                0.77014,                0.63983,                0.72808,                0.38986,                 1.6275,                 1.4119,                 1.6282,               0.008086,               0.008086,               0.008086
                     32,                 1.3848,                 1.1073,                 1.3795,                0.76403,                0.63998,                0.73237,                0.40055,                 1.6036,                 1.4164,                 1.6187,                0.00802,                0.00802,                0.00802
                     33,                 1.3976,                 1.1177,                 1.3805,                0.75439,                0.64411,                0.72977,                0.39279,                 1.6196,                 1.4061,                 1.6152,               0.007954,               0.007954,               0.007954
                     34,                 1.3889,                 1.1074,                 1.3686,                0.75627,                 0.6509,                0.73256,                0.39688,                 1.6122,                 1.3737,                 1.6073,               0.007888,               0.007888,               0.007888
